;growth_total;divorce_total;marriage_total;LE_total;GDP;migration
0;-239568;669374;26149;67.5;14503;322392
1;-129091;669374;26456;69.0;29505;316460
2;-4252;644099;24193;69.0;27875;289857
3;24013;667969;24498;70.0;19192;301110
4;30336;693729;24586;70.0;20810;262929
5;32037;611644;23318;70.0;19838;255204
6;-2287;608334;19848;71.0;20017;269375
7;-135818;611435;20922;72.0;20133;219696
8;-224566;583941;17889;72.0;18909;215534
9;-317233;620728;19115;72.5;24223;204006
10;-702072;564702;15412;70.5;31999;209672
11;-1043341;644208;18424;69.5;29986;208059
12;-594557;682850;21271;72.0;38507;208494
13;-500264;683795;18727;72.5;38115;210107
